Query Index,Query Text,Rank,Similarity Score,Chunk Index,Chunk Snippet
1,Quais são os procedimentos para a remessa de autos de processos físicos para o s...,1,0.7252136757479819,43,18.53  A impugnação ao registro de candidatura exige representação processual por advogado(a) constituído(a) por procuração nos autos e será peticiona...
1,Quais são os procedimentos para a remessa de autos de processos físicos para o s...,2,0.7219681996849534,73,"18.83  A remessa dos autos pelo PJe dá-se pelo comando ""Remeter processo para o TRE""...."
1,Quais são os procedimentos para a remessa de autos de processos físicos para o s...,3,0.7094289996120873,68,"18.78  O resultado do julgamento do processo do(a) titular deve ser certificado nos autos dos(as) respectivos(as) vices e suplentes, bem como os dos(a..."
1,Quais são os procedimentos para a remessa de autos de processos físicos para o s...,4,0.7069416909879244,34,"18.44  Na autuação, o assunto processual deverá ser o mais específico possível, conforme exemplos abaixo, podendo um mesmo processo ter mais de um ass..."
1,Quais são os procedimentos para a remessa de autos de processos físicos para o s...,5,0.7019754105632001,58,"18.68  O(A) juiz(a) formará sua convicção pela livre apreciação da prova, atendendo aos fatos e às circunstâncias constantes dos autos, ainda que não ..."
2,"Quais grupos de pessoas, além das maiores de 80 anos, têm prioridade no atendime...",1,0.7235146659650233,42,"18.52  O artigo 16 da LC 64/90 informa que os prazos são contínuos e peremptórios e, além disso, correm em cartório para as partes, inclusive para o M..."
2,"Quais grupos de pessoas, além das maiores de 80 anos, têm prioridade no atendime...",2,0.715191837036885,16,"18.17  No caso de as convenções para a escolha de candidatas e candidatos não indicarem candidatas e candidatos para a Câmara dos Deputados, a Câmara ..."
2,"Quais grupos de pessoas, além das maiores de 80 anos, têm prioridade no atendime...",3,0.7119486964408566,40,"18.50  Possuem legitimidade passiva as pessoas escolhidas nas convenções partidárias e que efetuaram o pedido de registro de candidatura, bem como os ..."
2,"Quais grupos de pessoas, além das maiores de 80 anos, têm prioridade no atendime...",4,0.7007182128059564,55,"18.65  Contudo, como a legitimidade é conferida a qualquer cidadão(ã), a apresentação poderá ocorrer diretamente no balcão do cartório, em meio físico..."
2,"Quais grupos de pessoas, além das maiores de 80 anos, têm prioridade no atendime...",5,0.6982364449942731,30,"18.40  Nas eleições majoritárias e proporcionais, a substituição somente se efetivará se o novo pedido for apresentado até 20 (vinte) dias antes do pl..."
3,"Em caso de fechamento extraordinário do Cartório Eleitoral, quem deve estabelecê...",1,0.7586339467793697,42,"18.52  O artigo 16 da LC 64/90 informa que os prazos são contínuos e peremptórios e, além disso, correm em cartório para as partes, inclusive para o M..."
3,"Em caso de fechamento extraordinário do Cartório Eleitoral, quem deve estabelecê...",2,0.7555714916122858,50,"18.60  Se não for parte, o Ministério Público disporá de 2 dias para manifestação após a apresentação ou decurso de prazo das alegações finais, cabend..."
3,"Em caso de fechamento extraordinário do Cartório Eleitoral, quem deve estabelecê...",3,0.7269518793258667,55,"18.65  Contudo, como a legitimidade é conferida a qualquer cidadão(ã), a apresentação poderá ocorrer diretamente no balcão do cartório, em meio físico..."
3,"Em caso de fechamento extraordinário do Cartório Eleitoral, quem deve estabelecê...",4,0.7124472421327492,66,"18.76  O(A) candidato(a) cujo registro esteja sub judice poderá efetuar todos os atos relativos à campanha eleitoral, inclusive utilizar o horário ele..."
3,"Em caso de fechamento extraordinário do Cartório Eleitoral, quem deve estabelecê...",5,0.7119492848077063,65,"18.75  A sentença, independentemente do momento de sua prolação, será publicada no Mural Eletrônico e comunicada ao Ministério Público por expediente ..."
4,"De acordo com o Código de Ética e as normas de serviço, quais condutas são vedad...",1,0.6681315238889277,10,"18.11  A apresentação do DRAP e do RRC se fará mediante:  I - transmissão pela internet, até as 8 (oito) horas do dia 15 de agosto do ano da eleição; ..."
4,"De acordo com o Código de Ética e as normas de serviço, quais condutas são vedad...",2,0.6486109185250393,28,"18.38  O pedido de registro de substituto(a) será elaborado no CANDex e transmitido via internet, ou, na impossibilidade de transmissão, entregue à Ju..."
4,"De acordo com o Código de Ética e as normas de serviço, quais condutas são vedad...",3,0.6469275477861243,52,"18.62  Qualquer cidadão(ã), no gozo de seus direitos políticos poderá, no prazo de 5 (cinco) dias, contados da publicação do edital relativo ao pedido..."
4,"De acordo com o Código de Ética e as normas de serviço, quais condutas são vedad...",4,0.6464212720661382,2,"18.3  Além da verificação das condições de elegibilidade, de desincompatibilidade e da inexistência de causas de inelegibilidade, são exigidos dos(as)..."
4,"De acordo com o Código de Ética e as normas de serviço, quais condutas são vedad...",5,0.6428303782384764,9,"18.10  Os partidos políticos, as federações e as coligações solicitarão à Justiça Eleitoral o registro de suas candidatas e de seus candidatos até as ..."
5,Liste as três primeiras das principais rotinas procedimentais e serviços cartorá...,1,0.7555774386635488,42,"18.52  O artigo 16 da LC 64/90 informa que os prazos são contínuos e peremptórios e, além disso, correm em cartório para as partes, inclusive para o M..."
5,Liste as três primeiras das principais rotinas procedimentais e serviços cartorá...,2,0.7297362150915079,69,"18.79  Interposto o recurso, o(a) recorrido(a) será intimado(a) para apresentação de contrarrazões no prazo de 3 (três) dias (art. 59, da Res. TSE nº ..."
5,Liste as três primeiras das principais rotinas procedimentais e serviços cartorá...,3,0.7251402279256723,14,"18.15  A transmissão dos arquivos será confirmada com a emissão de recibo pelo próprio sistema ou na entrega pessoal em cartório, conforme o caso ( Re..."
5,Liste as três primeiras das principais rotinas procedimentais e serviços cartorá...,4,0.7247173891900485,22,18.32  Os(as) candidatos(as) aos cargos majoritários e proporcionais poderão ser substituídos(as) nas seguintes hipóteses:  a) registro indeferido;  b...
5,Liste as três primeiras das principais rotinas procedimentais e serviços cartorá...,5,0.7195372226832901,55,"18.65  Contudo, como a legitimidade é conferida a qualquer cidadão(ã), a apresentação poderá ocorrer diretamente no balcão do cartório, em meio físico..."
6,Quais são as responsabilidades do Chefe de Cartório em relação à fiscalização do...,1,0.6972316053863545,55,"18.65  Contudo, como a legitimidade é conferida a qualquer cidadão(ã), a apresentação poderá ocorrer diretamente no balcão do cartório, em meio físico..."
6,Quais são as responsabilidades do Chefe de Cartório em relação à fiscalização do...,2,0.690872320345443,75,18.85  Os cartórios eleitorais devem realizar o acompanhamento dos processos que sejam remetidos ao TRE/TSE em grau de recurso até o seu trânsito em j...
6,Quais são as responsabilidades do Chefe de Cartório em relação à fiscalização do...,3,0.6743640206409662,59,18.69  O art. 10 do Código de Processo Civil veda a decisão com base em fundamento do qual não se tenha dado às partes oportunidade de se manifestar. ...
6,Quais são as responsabilidades do Chefe de Cartório em relação à fiscalização do...,4,0.6730121544610408,34,"18.44  Na autuação, o assunto processual deverá ser o mais específico possível, conforme exemplos abaixo, podendo um mesmo processo ter mais de um ass..."
6,Quais são as responsabilidades do Chefe de Cartório em relação à fiscalização do...,5,0.665538940092777,76,"18.86  Alterada a condição do candidato em eventual julgamento, o(a) servidor(a) do cartório deverá imediatamente realizar a alteração da situação do(..."
